Tooting,TOO,"['London, UK', 12070.0, 1388.0]"
Tottenham Hale,TOM,"['London, UK', 12729.0, 1540.0]"
Tulse Hill,TUH,"['London, UK', 8964.0, 1101.0]"
Turkey Street,TUR,"['London, UK', 22485.0, 2327.0]"
Twickenham,TWI,"['London, UK', 18426.0, 1981.0]"
Upminster,UPM,"['London, UK', 36237.0, 2592.0]"
Upper Halliford,UPH,"['London, UK', 27384.0, 2510.0]"
Upper Holloway,UHL,"['London, UK', 7410.0, 971.0]"
Upper Warlingham,UWL,"['London, UK', 25755.0, 2659.0]"
Vauxhall,VXH,"['London, UK', 214.0, 61.0]"
Virginia Water,VIR,"['London, UK', 41309.0, 2880.0]"
Waddon,WDO,"['London, UK', 17922.0, 1907.0]"
Wallington,WLT,"['London, UK', 19201.0, 2130.0]"
Waltham Cross,WLC,"['London, UK', 24609.0, 2571.0]"
Walthamstow Central,WHC,"['London, UK', 13680.0, 1726.0]"
Walthamstow Queen's Road,WMW,"['London, UK', 13460.0, 1722.0]"
Walton-on-Thames,WAL,"['London, UK', 27236.0, 2845.0]"
Wandsworth Common,WSW,"['London, UK', 9389.0, 1114.0]"
Wandsworth Road,WWR,"['London, UK', 5257.0, 640.0]"
Wandsworth Town,WNT,"['London, UK', 8748.0, 1031.0]"
Wanstead Park,WNP,"['London, UK', 13510.0, 1509.0]"
Wapping,WPE,"['London, UK', 4866.0, 596.0]"
Ware (Herts),WAR,"['London, UK', 38634.0, 3388.0]"
Watford High Street,WFH,"['London, UK', 33012.0, 2497.0]"
Watford Junction,WFJ,"['London, UK', 32393.0, 2517.0]"
Watford North,WFN,"['London, UK', 31259.0, 2423.0]"
Welham Green,WMG,"['London, UK', 31434.0, 2657.0]"
Welling,WLI,"['London, UK', 19127.0, 2011.0]"
Welwyn Garden City,WGC,"['London, UK', 40944.0, 3023.0]"
